44976,1590,3.96,,"B.A., <span itemprop=""title"">Computer Science",Male,"Asian, Prefer Not to Share",2018,,Regular Decision
54631,1570,4.35,35,"B.S., Computer Science",Female,Asian,2020,No,Accepted From Waitlist
168694,1590,4.50,36,"B.S., <span itemprop=""title"">Mechanical Engineering",Male,Asian,2019,,Regular Decision
68149,1560,4.50,36,"B.A., Economics",Male,Asian,2019,,Early Action
52357,,4.50,33,"B.B.A., <span itemprop=""title"">Business Administration and Management",Male,White Non-Hispanic,2019,,Regular Decision
191294,1410,4.50,34,"B.S., Operations Research",Male,Asian,2021,No,
191606,1580,4.40,,"B.A., <span itemprop=""title"">Neuroscience and Neurobiology",Female,White Non-Hispanic,2020,,Regular Decision
161947,1430,4.21,33,"B.S., Electrical and Electronics Engineering",Male,White Non-Hispanic,2020,No,Regular Decision
86849,1590,4.21,,"B.S., Economics",Male,Asian,2021,No,
223520,1560,4.50,,"B.A., <span itemprop=""title"">Art History",Female,White Non-Hispanic,2020,,Regular Decision
56786,,3.95,,"B.A., Cognitive Science",Female,Asian,2019,Yes,Regular Decision
223653,1600,4.00,,"B.S., Mathematics",Female,Asian,2020,Yes,Regular Decision
52330,1590,4.50,33,"B.S., <span itemprop=""title"">Computer Science",Male,Asian,2019,,Regular Decision
42663,1520,4.00,,"B.B.A., <span itemprop=""title"">Business Administration and Management",Male,Asian,2020,,Regular Decision
52031,1560,4.24,33,"B.S., <span itemprop=""title"">Biology",Female,White Non-Hispanic,2019,,Regular Decision
151408,1600,3.98,,"B.S., Computer Science",Female,Asian,2021,No,
253085,,3.89,35,"B.A., History",Female,Asian,2021,No,
52058,1550,4.50,35,"B.S., <span itemprop=""title"">Computer and Information Studies",Male,Asian,2017,,Regular Decision
55338,1320,4.45,28,"B.S., <span itemprop=""title"">Clinical Psychology and Counseling",Male,Hispanic,2019,,Regular Decision
8535,1530,4.20,36,"B.A., <span itemprop=""title"">Biochemistry and Molecular Biology",Male,Asian,2017,,Regular Decision
52195,1500,3.96,36,"B.S., <span itemprop=""title"">Biology",Female,Hispanic,2018,,Regular Decision
37189,1600,4.50,,"B.S., <span itemprop=""title"">Bioengineering and Biomedical Engineering",Male,Asian,2019,,Early Action
9257,1550,4.02,,"B.A., <span itemprop=""title"">Mathematics",Male,White Non-Hispanic,2017,,Regular Decision
31591,1530,4.24,35,"B.A., Political Science and Government",Male,Asian,2015,No,Regular Decision
70942,1560,4.00,35,"B.S., Bioengineering and Biomedical Engineering",Male,White Non-Hispanic,2019,,"Regular Decision, Early Action"
36019,1600,3.93,,"B.A., <span itemprop=""title"">International Relations and National Security Studies",Female,,2019,,Regular Decision
236487,1480,4.50,35,"B.S., Mechanical Engineering",Female,"Asian, White Non-Hispanic",2020,No,
221222,1550,4.39,35,"B.S., <span itemprop=""title"">Aerospace Engineering",Male,Hispanic,2020,,Early Action
10571,1600,4.20,,"B.S., <span itemprop=""title"">Chemical Engineering",Male,Prefer Not to Share,2017,,Regular Decision
124302,1600,4.00,36,"B.S., <span itemprop=""title"">Bioengineering and Biomedical Engineering",Female,White Non-Hispanic,2019,,Early Action
12339,1580,4.00,36,"B.S., <span itemprop=""title"">Bioengineering and Biomedical Engineering",Female,Asian,2018,,"Regular Decision, Early Action"
8257,1390,4.20,,"B.A., <span itemprop=""title"">Sociology",Male,Hispanic,2015,,Regular Decision
86535,1510,4.19,,B.A.,Female,Prefer Not to Share,2019,,Early Action
231029,1560,4.50,,"B.A., Biology",Male,Asian,2020,No,Regular Decision
8251,1440,3.80,,B.A.,Female,White Non-Hispanic,2015,,Regular Decision
339482,1560,4.48,,"B.A., Undecided",Female,"Hispanic, White Non-Hispanic",2017,No,
43400,1530,4.30,,B.A.,Female,"Hispanic, White Non-Hispanic",2016,,Regular Decision
113071,1550,,,"B.S., <span itemprop=""title"">Management Sciences and Statistics",Male,Asian,2013,,
52988,1570,4.00,,"B.A., <span itemprop=""title"">Economics",Female,White Non-Hispanic,2018,,"Regular Decision, Early Decision"
393558,,4.00,,"B.S., <span itemprop=""title"">Biology",Female,Asian,2022,No,
56082,1560,4.50,,"B.S., <span itemprop=""title"">Electrical and Electronics Engineering",Male,Asian,2018,,Regular Decision
51757,1550,3.50,32,"B.A., <span itemprop=""title"">Art History",Female,Hispanic,2015,,Early Decision
192392,1490,4.72,35,"B.S., Computer Science",Female,Asian,2020,No,Early Action
216912,1540,4.00,34,"B.A., <span itemprop=""title"">Communication and Media Studies",Other,Asian,2020,,Regular Decision
71799,1570,4.48,,"B.A., Psychology",Female,White Non-Hispanic,2019,No,Regular Decision
8569,1510,4.00,,"B.S., <span itemprop=""title"">Electrical and Electronics Engineering",Male,White Non-Hispanic,2017,,Regular Decision
19204,1550,,,"B.A., <span itemprop=""title"">Bioengineering and Biomedical Engineering",Female,Asian,2014,,
233708,1460,4.31,,"B.A., International Relations",Male,Prefer Not to Share,2018,Yes,
57311,1410,4.20,33,"B.S., <span itemprop=""title"">Computer Engineering",Male,"Black / African American, Hispanic",2019,,Early Action
167593,1490,4.50,34,"B.S., Computer Science",Male,Hispanic,2019,Yes,Early Action
